Name,Description,URL,Owner,Item Count,Total Joins
People Who Are Usually Right About Things,People I trust!,https://bsky.app/starter-pack/sophiaflorence.bsky.social/3lblo7xyooe2c,sophiaflorence.bsky.social,0,0
Critical Political Economy of Communications,Calling all CPEC Scholars!,https://bsky.app/starter-pack/sydneyforde.bsky.social/3layzndtdtc2a,sydneyforde.bsky.social,0,1
Critical Hype Studies,A place to discuss hype as a sociotechnical phenomenon from a critical perspective. Bluesky extension of an existing invisible college and growing international research network.,https://bsky.app/starter-pack/velocitygravity.bsky.social/3lbfh73xkwq22,velocitygravity.bsky.social,0,0
Alex Reed's Starter Pack,No Description,https://bsky.app/starter-pack/salexanderreed.bsky.social/3ld4f7yl27e2q,salexanderreed.bsky.social,0,0
Development studies beyond Econ,There are some great starter packs for development economics  so this is for people interested in development studies outside economics.,https://bsky.app/starter-pack/cmartinshields.bsky.social/3l2z5qkcbh42e,cmartinshields.bsky.social,0,0
Soma Basu's Starter Pack,No Description,https://bsky.app/starter-pack/somabasu.com/3lb6whljzba2z,somabasu.com,0,0
Critical 4E Starter Pack,People who take a critical approach to 4E—embodied  embedded  enacted  extended—cognition  in thinking about negative interactions between humans and the world.,https://bsky.app/starter-pack/liao.shen-yi.org/3ldhxi56fog2v,liao.shen-yi.org,0,0
John Sheridan's Starter Pack,No Description,https://bsky.app/starter-pack/johnlsheridan.bsky.social/3l264vs7yc52h,johnlsheridan.bsky.social,0,0
The craft  business and protection of journalism,Journalism and media educators  researchers and commentators  industry associations and other organizations sharing information about the craft  business  protection and well-being of journalism and journalists around the world.,https://bsky.app/starter-pack/joannasmith.bsky.social/3lb3hjqimni2o,joannasmith.bsky.social,0,8
Computational Social Scientists,Powerful insights deserve an equally powerful network  I created this list but see myself as more of a computational collaborator #CiteMoreWomen,https://bsky.app/starter-pack/schradie.bsky.social/3lazcshf2is2d,schradie.bsky.social,0,2
Political Philosophy Democratic Innovations,Researchers working at the intersection between political philosophy and democratic innovations. Focus topics include Deliberative Democracy  Digital Democracy  E-Voting  Direct Democracy  Citizen-Initiated Referendums  Liquid Democracy  Critiques of Democratic Innovations...,https://bsky.app/starter-pack/paulsaproza.com/3lckv7swty52c,paulsaproza.com,0,0
Researchers in International Political Theory,Researchers working on the connection between International Relations and Political Theory  i.e. International Political Theory.  Focus topics include Global Democracy  Global Justice  International Violence and Conflict  Humanitarianism and Human Rights...,https://bsky.app/starter-pack/paulsaproza.com/3lckugfat4x25,paulsaproza.com,0,0
